"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260686043/0/60/45/3819920a7fa096dc421c09509812cde1/14/d74460333cbed6bdc4df267b9b5aad48/260686043.JPG","H1304481","Residential Detached","S","50 46000 THOMAS ROAD","Vedder S Watson-Promontory","149","2","2005","0.00","House/Single Family","Sardis","700-006-767","V2R 5W6","48.00",,,"$254,000","0.98","$175.54","5/4/2014","House/Single Family","2","RSV3","$259,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260788156/0/60/45/3b9055bb109c4a40ce2db6df6192cb36/16/f0f0722fa77a333310ff671ced29d0fb/260788156.JPG","V1048120","Residential Attached","S","354 8600 LANSDOWNE ROAD","Brighouse","78","2","1988","0.00","Apartment/Condo","Richmond","011-750-871","V6X 3L6",,,,"$255,000","0.96","$225.46","5/6/2014","Apartment/Condo","2","RAM1","$266,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260950518/0/60/45/fdf280c6617dd83f828e106cb482cd2d/13/7e39cdc82f17036d197b904b60a6920f/260950518.JPG","N235471","Residential Detached","S","1861 W BITTNER ROAD","North Blackburn","0","3","1993","12,196.00","House/Single Family","PG City South East (Zone 75)","017-808-570","V2N 6T1","0.00",,,"$255,000","0.96","$119.83","5/1/2014","House/Single Family","3","RS2","$264,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260964068/0/60/45/7cd4c437c348ed5b74a0ff073437c35d/13/63fe857ce68cdf7b15ce8439a9dc1051/260964068.JPG","N235640","Residential Detached","S","6614 ESSEX CRESCENT","Lower College","0","4","1973","6,487.00","House/Single Family","PG City South (Zone 74)","009-679-537","V2N 2P1",,,,"$255,000","0.97","$124.69","5/7/2014","House/Single Family","2","RS2","$262,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260834095/0/60/45/e4f3f1a71e474540bf8831fc0953bbca/16/b5443ecc44d3837a1bc10ff7a2257711/260834095.JPG","V1052157","Residential Attached","S","108 1975 PENDRELL STREET","West End VW","53","0","1957","0.00","Apartment/Condo","Vancouver West","015-736-423","V6G 1T6",,,,"$256,500","0.99","$610.71","5/2/2014","Apartment/Condo","1","RM-5B","$259,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260952745/0/60/45/71db284f4cf9e21779671f616ccbb6ed/16/5ab44417d6f66d67209df254eb054731/260952745.JPG","V1062063","Residential Attached","S","101 3738 NORFOLK STREET","Central BN","3","1","1994","0.00","Apartment/Condo","Burnaby North","018-422-781","V5G 4V4",,,,"$257,000","0.99","$336.83","5/3/2014","Apartment/Condo","1","MF","$259,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260943360/0/60/45/c889413e0a26d935203758c424d0b716/15/474e5f1ae3f72820fd06ddcc4bb67784/260943360.JPG","F1410462","Residential Attached","S","192 3160 TOWNLINE ROAD","Abbotsford West","12","3","1994","0.00","Townhouse","Abbotsford","018-286-399","V2T 5P4",,,,"$257,000","0.96","$113.82","5/7/2014","Townhouse","2","RM25","$269,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260866170/0/60/45/9c620d7142e00e11bf1aafce65b410b3/16/c9ce67e8636df7ad76be36daf2c8bc58/260866170.JPG","V1054803","Residential Attached","S","106 570 E 8TH AVENUE","Mount Pleasant VE","42","1","1983","0.00","Apartment/Condo","Vancouver East","006-416-578","V5T 1S8",,,,"$258,000","0.97","$463.20","5/7/2014","Apartment/Condo","1","RM-4","$265,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260941926/0/60/45/9dd8de03a881487ca7304aa479c44d09/15/de6dd5792e0ada316e8ff11d3d5d0398/260941926.JPG","F1410405","Residential Attached","S","20 15488 101A AVENUE","Guildford","12","2","1998","0.00","Townhouse","North Surrey","024-272-965","V3R 0Z8",,,,"$258,000","1.00","$227.11","5/7/2014","Townhouse","2","MF","$259,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260873773/0/60/45/4db443fcb0acb239dc696ba2f51b1315/16/a008684c1f7ee3d05c689c92ccc899ba/260873773.JPG","V1055310","Residential Attached","S","311 15 SMOKEY SMITH PLACE","GlenBrooke North","33","1","2002","0.00","Apartment/Condo","New Westminster","025-411-781","V3L 5V7",,,,"$258,500","0.98","$401.40","5/3/2014","Apartment/Condo","1","MF","$264,900"
