"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260583200/0/60/45/39af5a18f75391f81701c674f3f7f280/15/564f534f8402047e414a7c527903ed2a/260583200.JPG","H1303922","Residential Attached","S","207 9282 HAZEL STREET","Chilliwack E Young-Yale","169","1","1980","0.00","Apartment/Condo","Chilliwack","008-041-253","V2P 5N6",,,,"$50,000","0.91","$86.06","3/27/2014","Apartment/Condo","1","R5","$55,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260791522/0/60/45/6558e8fec17e7c6d90e28afac63add12/14/937beb27dd1f83e11b71d15d9774b85a/260791522.JPG","H1400666","Residential Detached","S","32 6900 INKMAN ROAD","Agassiz","38","2","1991","0.00","Manufactured","Agassiz","700-006-662","V0M 1A1","0.00",,,"$50,000","0.91","$54.11","3/27/2014","Manufactured","1","RH","$54,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260608027/0/60/45/fd7407934d12c455cbe4b65a6f11c4e0/13/c7bf3a5fc33d48c1899dc57163f2c15b/260608027.JPG","N231784","Residential Detached","S","41 S BROADWAY AVENUE","Williams Lake - City","160","2","1984","0.00","Manufactured","Williams Lake (Zone 27)","800-081-045","V2G 2W5","0.00",,,"$53,000","1.00","$50.38","3/31/2014","Manufactured","1","MHP","$53,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260294500/0/60/45/356d7dd57ac02676c26952061f585477/15/68497b1f77500ea938446e8ffaccc2bf/260294500.JPG","F1312838","Residential Detached","S","7 31313 LIVINGSTONE AVENUE","Abbotsford West","307","3","1975","0.00","Manufactured","Abbotsford","900-567-354","V2T 4T1","0.00",,,"$53,000","0.79","$50.19","3/27/2014","Manufactured","2","MHR","$67,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260664668/0/60/45/1ba345fe44e41622a3fbee6dda573035/15/9b18871c4df439e6cb2f4eb45539231a/260664668.JPG","F1326295","Residential Detached","S","66 43201 LOUGHEED HIGHWAY","Dewdney Deroche","129","2","1970","0.00","Manufactured","Mission","900-569-428","V0M 1G0","0.00",,,"$58,000","0.92","$53.21","4/2/2014","Manufactured","1","MHP","$62,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260601152/0/60/45/b1e4d2dcf9193d61b9d8c7504dec759d/13/2220ed54ab28ea0d28f8a4ab40ebe38c/260601152.JPG","N231707","Residential Detached","S","6478 EWEN ROAD","Horse Lake","169","2","1981","0.00","Manufactured with Land","100 Mile House (Zone 10)","007-641-451","V0K 2E3","0.00",,,"$62,000","0.89","$85.16","4/3/2014","Manufactured with Land","1","R1","$69,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260870280/0/60/45/cf27ae1c6bc54219c7402e00d31df7d7/13/30f3a0007cfa0d66afb7f1bb11c99a49/260870280.JPG","N234405","Residential Attached","S","26 800 N 2ND AVENUE","Williams Lake - City","9","2","1979","0.00","Apartment/Condo","Williams Lake (Zone 27)","004-936-451","V2G 4C4",,,,"$62,500","0.97","$71.84","4/2/2014","Apartment/Condo","1","R3","$64,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260517968/0/60/45/4976de70bf6c31717e3092e05037059d/13/23b54eaba7ed7dd12872a0ca31a0662b/260517968.JPG","N230838","Residential Detached","S","5 2202 BASALT AVENUE","Red Bluff/Dragon Lake","204","2","1989","0.00","Manufactured","Quesnel (Zone 28)","800-079-670","V2J 4N4","0.00",,,"$63,000","1.00","$68.18","4/2/2014","Manufactured","2","MHP","$63,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260843220/0/60/45/ef97f227e4f737664e4f28c8f28d20dc/13/3d1720abf9999b5c1140476860943812/260843220.JPG","N234056","Land Only","S","4606 SCOTT AVENUE","Terrace - City","14",,,"0.00",,"Terrace (Zone 88)","011-989-335","V8G 2B2","50.00","Road Access","Duplex","$64,900","1.00",,"3/29/2014","Duplex",,"R2","$64,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259986759/0/60/45/2545ae81e114cd794129408ac7ddc942/15/b64502e23e918e3b0de5b37df6d2c15e/259986759.JPG","F1300677","Land Only","S","66 14600 MORRIS VALLEY ROAD","Lake Errock","447",,,"6,028.00",,"Mission","023-085-657","V0M 1A1","50.00","Allowed Access","House/Single Family","$68,250","0.91","$11.32","4/1/2014","House/Single Family",,"REC","$74,900"
