"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260903702/0/60/45/497a1eb93220e96bbc27a769939a2dc0/16/1eb2d52c600f9e84f4610be2551b2d54/260903702.JPG","V1058184","Residential Attached","S","509 4295 BLACKCOMB WAY","Whistler Village","15","0","1995","0.00","Apartment/Condo","Whistler","019-193-548","V0N 1B4",,,,"$40,000","0.89","$82.47","4/23/2014","Apartment/Condo","1","RM1","$44,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260755440/0/60/45/b9783e68dcd51a311947df4b9f73bbb1/15/e98cd9f332e037686e591605c0dc9ca1/260755440.JPG","F1402464","Residential Detached","S","60 9950 WILSON STREET","Stave Falls","88","2","1973","0.00","Manufactured","Mission","900-569-931","V2V",,,,"$40,000","0.57","$42.11","4/25/2014","Manufactured","2","MHP","$69,900"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260752303/0/60/45/dc906b9e19fd3314267bad0bcb59806e/13/190b66e521329c3c9d1477cc4519b633/260752303.JPG","N233072","Land Only","S","448 EVERGREEN DRIVE","Port Edward","84",,,"8,500.00",,"Prince Rupert (Zone 52)","012-457-027","V0T 1G0","85.00","Road Access","House/Single Family","$42,000","0.93","$4.94","4/22/2014","House/Single Family",,"R-2","$45,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260795555/0/60/45/390bb9070a5fb393254b66ed27530f36/16/cda394b47eb5b63cb938b56060a8d7ab/260795555.JPG","F1404304","Residential Detached","S","28 10221 WILSON STREET","Stave Falls","68","3","1974","0.00","Manufactured","Mission","900-570-213","V4S 1A2","0.00",,,"$46,000","0.92","$46.00","4/27/2014","Manufactured","1","MHP","$49,800"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260790595/0/60/45/8aead80398adbf1992f2850d1f9a5246/16/46d4aef6cf020ae3a61e5ce30db0df74/260790595.JPG","F1404059","Residential Detached","S","38 9132 120TH STREET","Queen Mary Park Surrey","65","3","1970","0.00","Manufactured","Surrey","900-570-173","V3V 4B6","0.00",,,"$46,000","0.92","$50.00","4/23/2014","Manufactured","1","RES","$49,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260871485/0/60/45/05cb3f258835e5fe3fe80b36be36cdd3/13/a922078d848fe2f33c81f9343b705041/260871485.JPG","N234436","Multifamily","S","2512 OAK STREET","VLA","35","3","9999","4,219.00","Duplex","PG City Central (Zone 72)","010-042-156","V2L 2A4","0.00",,,"$50,000","0.91","$25.00","4/25/2014","Duplex","1","RT2","$54,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260725994/0/60/45/3b331230bbfe84db84a06325dcbaa975/13/48b54914145686258e6a224254d23b67/260725994.JPG","N232850","Residential Detached","S","4081 ESTAVILLA DRIVE","Emerald","97","4","1992","0.00","Manufactured","PG City North (Zone 73)","800-082-949","V2K 2T8","0.00",,,"$55,000","0.85","$56.12","4/22/2014","Manufactured","1","RS2M","$64,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260911684/0/60/45/96829b477a69d5252b445f35e15120b0/13/f0eeaf4a3d72d99bfe27967f50451c2b/260911684.JPG","N234959","Residential Detached","S","125 2500 GRANT ROAD","Hart Highway","8","2","1994","4,757.00","Manufactured with Land","PG City North (Zone 73)","018-676-782","V2K 4X9","0.00",,,"$60,000","1.11","$64.94","4/22/2014","Manufactured with Land","2","RS5","$54,300"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260930440/0/60/45/18dc9fd42c93ac549aaa393ac0c62a75/13/f08891e572b82b225d81113ba9a4c6b6/260930440.JPG","N235166","Land Only","S","4519 SCOTT AVENUE","Terrace - City","3",,,"0.00",,"Terrace (Zone 88)","006-210-406","V8G 2A8","62.00","Road Access","Duplex","$65,000","1.00",,"4/25/2014","Duplex",,"R5","$65,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259817238/0/60/45/d8bb0d3412b4589ecea0756bfeb64ece/14/a6cb7e70c035cac9f81b9a5e03629cb9/259817238.JPG","H1203995","Residential Attached","S","17 46210 MARGARET AVENUE","Chilliwack E Young-Yale","572","2","1986","0.00","Apartment/Condo","Chilliwack","001-192-884","V2P 2G9",,,,"$65,500","0.90","$83.33","4/24/2014","Apartment/Condo","1","R5","$72,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260666778/0/60/45/646b235998502e652a287a8a35c59b31/15/f15a63ab468f304381dc506e486dfa83/260666778.JPG","F1326354","Residential Detached","S","24 24330 FRASER HIGHWAY","Otter District","147","2","2006","0.00","Manufactured","Langley","900-569-419","V2Z 1N2","0.00",,,"$66,000","0.94","$71.43","4/21/2014","Manufactured","2","MHP","$69,900"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260928405/0/60/45/4520ca11b5cfea1e2856a75c243cbdb0/13/6ded1a3b9aa8e9f5260fadb921f1c3ed/260928405.JPG","N235143","Residential Detached","S","46 370 WESTLAND ROAD","Quesnel - Town","2","2","1998","0.00","Manufactured","Quesnel (Zone 28)","800-085-452","V2J 6A7","0.00",,,"$68,500","0.98","$74.13","4/24/2014","Manufactured","2","CR1","$69,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260888340/0/60/45/de604ef94324e99cad661b630d901057/13/db6129426d5cb7f5facadbe20622a934/260888340.JPG","N234637","Land Only","S","LOT 52 ELLIS ROAD","Pineview","21",,,"0.00",,"PG Rural South (Zone 78)","014-030-233","V2N 6E2","0.00","Road Access","House/Single Family","$74,000","0.95",,"4/25/2014","House/Single Family",,"RR1","$77,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260904858/0/60/45/9445cceba37c4b05482c8a534172242a/13/1f79e77812257b88b89655950704375d/260904858.JPG","N234871","Residential Detached","S","3916 QUESNEL-HYDRAULIC ROAD","Quesnel Rural - South","11","3","9999","0.00","House/Single Family","Quesnel (Zone 28)","006-739-164","V2J 6G3","0.00",,,"$75,100","0.94","$55.63","4/22/2014","House/Single Family","2","R1","$79,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260721107/0/60/45/e47ef61f04d2205f25ecf3b543b2bab9/15/fd63a45afc4d1b0aaaa8626aa917a1df/260721107.JPG","F1400879","Residential Detached","S","154 9080 198 STREET","Walnut Grove","103","2","1997","0.00","Manufactured","Langley","900-569-744","V1M 3A8",,,,"$77,000","0.96","$75.94","4/25/2014","Manufactured","1","MH1","$79,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260625690/0/60/45/4c796164ed12b153157fc1fb9dcccbe0/13/88526f752b1cf396ee3f523e557c0765/260625690.JPG","N231926","Residential Detached","S","142 9207 82ND STREET","Fort St. John - City SE","177","2","1981","0.00","Manufactured","Fort St. John (Zone 60)","800-081-325","V1J 5G5","66.00",,,"$78,000","0.92","$79.59","4/24/2014","Manufactured","1","R4","$84,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260814435/0/60/45/2862e0557213253a8ea8b32b72bf427f/13/8094b6c93a39e9128f25139d03774758/260814435.JPG","N233699","Residential Detached","S","27251 W 16 HIGHWAY","Burns Lake - Rural West","58","2","9999","0.00","House/Single Family","Burns Lake (Zone 55)","009-542-299","V0J 1E1","0.00",,,"$79,000","1.00","$58.09","4/25/2014","House/Single Family","1","H1","$79,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260852250/0/60/45/1842e16bf57f9a13f3f56e8a7243a569/14/bcd7c0474bdc8c21a7bf6b7d52b43ade/260852250.JPG","H1401035","Residential Attached","S","11 45882 CHEAM AVENUE","Chilliwack W Young-Well","32","1","1986","0.00","Townhouse","Chilliwack","001-440-209","V2P 1N6",,,,"$80,000","0.94","$141.09","4/21/2014","Townhouse","1","R5","$84,800"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260669220/0/60/45/73074ac291f873239d3135605952e147/16/85b280620211ee3490956cf1a3a54758/260669220.JPG","V1037646","Residential Detached","S","3 5575 MASON ROAD","Sechelt District","149","2","2004","0.00","Manufactured","Sunshine Coast","800-082-038","V0N 3A8","0.00",,,"$80,000","0.94","$81.63","4/25/2014","Manufactured","2","R4","$85,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260931605/0/60/45/b7105302f89c2ee62eba16c26f2fcf5c/15/6cf3a741fd1f888d1495747c91a2132e/260931605.JPG","H1401644","Residential Detached","S","18 45640 WATSON ROAD","Sardis West Vedder Rd","0","3","2006","0.00","Manufactured","Sardis","700-006-800","V2R 3P9","0.00",,,"$85,000","0.95","$91.99","4/23/2014","Manufactured","2","RMH","$89,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260917456/0/60/45/8397e4e04c17ab3d78a272801474217c/13/2d07d915647ee883d63abd4aff62f06c/260917456.JPG","N235023","Residential Attached","S","310 3777 MASSEY DRIVE","Pinecone","15","1","9999","0.00","Apartment/Condo","PG City West (Zone 71)","023-283-815","V2N 4J6",,,,"$86,500","0.97","$119.97","4/23/2014","Apartment/Condo","1","RM3","$89,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260433187/0/60/45/10f770253e5ab0c4c91a99d3316a1c80/13/1b362f547c027d21ece906c387b0e6ce/260433187.JPG","N229720","Residential Detached","S","1226 S GREEN ROAD","Lone Butte/Green Lk/Watch Lk","272","1","9999","0.00","Recreational","100 Mile House (Zone 10)","019-055-676","V0K 2K2","0.00",,,"$86,500","0.89","$188.04","4/22/2014","Recreational","0","LR1","$97,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260643139/0/60/45/0291c74387d88c8cb2ac312d4859e023/16/d7a4f7c2bd069a863743d717c864f708/260643139.JPG","F1325537","Residential Detached","S","14 20837 LOUIE CRESCENT","Walnut Grove","160","1","1975","0.00","House/Single Family","Langley","900-569-243","V1M 3H7",,,,"$86,500","0.91","$158.72","4/21/2014","House/Single Family","1","MARINA","$95,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260270346/0/60/45/aefe54172b1db895b20bb93d2a040690/15/51c838be693b73b772fe138e59b76a12/260270346.JPG","F1311868","Land Only","S","44341 BAYVIEW ROAD","Lake Errock","342",,,"13,600.00",,"Mission","009-115-951","V0N 1N0","80.00","Allowed Access",,"$86,500","0.94","$6.36","4/21/2014","Other",,"RES","$92,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260784357/0/60/45/d993e901e354ab49fb0d46c65a8214da/14/6c456146e2238ecd9c6edaaa5debea29/260784357.JPG","H1400613","Residential Attached","S","104 9422 VICTOR STREET","Chilliwack N Yale-Well","70","1","2007","0.00","Apartment/Condo","Chilliwack","027-369-439","V2P 0B3",,,,"$91,000","0.92","$156.90","4/25/2014","Apartment/Condo","1","R6","$99,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260772769/0/60/45/3d4e7c261774a67cb1ee8a5ecc72e12a/14/3d26785618a2c0e6b6bb0f0abbe5e7c4/260772769.JPG","H1400531","Residential Detached","S","79 9055 ASHWELL ROAD","Chilliwack W Young-Well","71","3","1978","0.00","Manufactured","Chilliwack","799-055-176","V2P 7S1","57.00",,,"$95,000","0.95","$85.66","4/23/2014","Manufactured","2","RMH","$99,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260924346/0/60/45/be14887097aa1ce1e80d5a93a5c20985/16/bd63db3a5b81916b3c166a7a346edd38/260924346.JPG","V1059726","Residential Attached","S","31 2437 KELLY AVENUE","Central Pt Coquitlam","12","2","9999","0.00","Apartment/Condo","Port Coquitlam","001-146-416","V3C 1Y3",,,,"$100,000","0.91","$114.94","4/23/2014","Apartment/Condo","1","RA1","$109,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260748489/0/60/45/080f821f81fdcf0624b679290371a09b/14/efc640c01b78d2921e72e8ee64840267/260748489.JPG","H1400349","Residential Attached","S","112 45555 YALE ROAD","Chilliwack W Young-Well","87","2","2008","0.00","Apartment/Condo","Chilliwack","027-467-724","V2P 0A9",,,,"$103,186","1.05","$123.58","4/24/2014","Apartment/Condo","2","R6","$97,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260717511/0/60/45/cfafcf995f1d8b9108bc8e3119de690b/13/8bbec1d524038daaae14c11c5fcefe17/260717511.JPG","N232774","Residential Detached","S","286 KEROUAC ROAD","Quesnel - Town","104","3","2006","0.00","Manufactured with Land","Quesnel (Zone 28)","024-496-863","V2L 7A2","0.00",,,"$105,000","0.91","$98.59","4/23/2014","Manufactured with Land","2","R4","$114,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260562100/0/60/45/36c49d373768e384f1f343ecf57eef1e/15/55b41ab4c6cb7962180f6a74e676be47/260562100.JPG","F1322785","Residential Attached","S","113 20460 54TH AVENUE","Langley City","211","1","1979","0.00","Apartment/Condo","Langley","001-574-574","V3A 1Z2",,,,"$105,000","0.96","$101.94","4/23/2014","Apartment/Condo","1","MF","$109,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260869924/0/60/45/872a21480457c241fc7c8fd7af7eedaf/13/5054f078449093173ab65bd48be80754/260869924.JPG","N234393","Residential Detached","S","45 7100 ALDEEN ROAD","Lafreniere","30","3","1998","0.00","Manufactured","PG City South (Zone 74)","800-084-771","V2N 5R5","0.00",,,"$105,000","0.91","$76.09","4/24/2014","Manufactured","1","RS5","$114,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260035475/0/60/45/e0962f8f9cca1f2c99f0bc95de58591d/13/886e5d1751dc3bf98234d55aba399a48/260035475.JPG","N224534","Residential Attached","S","407 W 8TH AVENUE","Prince Rupert - City","448","3","1960","0.00","Townhouse","Prince Rupert (Zone 52)","014-933-896","V8J 2P5",,,,"$110,000","0.88","$78.01","4/25/2014","Townhouse","3","RM1","$125,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260888298/0/60/45/7eb8d02bc678cf04a82268f7f25a5374/13/422ed10fe3d1f4da15baf02959c248d4/260888298.JPG","N234636","Land Only","S","LOT 59 85TH AVENUE","Fort St. John - City SE","22",,,"0.00",,"Fort St. John (Zone 60)","027-014-771","V1J 0G3","41.43","Road Access","House/Single Family","$110,000","0.85",,"4/25/2014","House/Single Family",,"R1A","$129,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260711839/0/60/45/a27757f33accae777adc5957ca2f65b8/13/f27acadef681a0bad482084b7a055894/260711839.JPG","N232725","Residential Detached","S","480 WINDER STREET","Quesnel - Town","108","3","9999","0.00","House/Single Family","Quesnel (Zone 28)","012-630-951","V2J 1C8","82.00",,,"$112,000","0.94","$116.67","4/24/2014","House/Single Family","2","RS1","$118,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260780010/0/60/45/29455a41dd8032d9210954136c825534/13/2cdcc6adf14bd3fef85f04d3ba12ccb4/260780010.JPG","N233369","Land Only","S","5113 COHO PLACE","Terrace - City","73",,,"13,777.00",,"Terrace (Zone 88)","027-357-708","V8G 5L7","0.00","Allowed Access","House/Single Family","$115,000","0.92","$8.35","4/27/2014","House/Single Family",,"R1","$124,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260800197/0/60/45/292e99e221f111aa9f9be0fec41087ba/16/0be83b777fda775b299e5ae049d1b1e4/260800197.JPG","V1049121","Residential Attached","S","4319 12635 190A STREET","Mid Meadows","63","0","2014","0.00","Apartment/Condo","Pitt Meadows","800-083-980","V0V 0V0",,,,"$119,900","1.00","$293.87","4/24/2014","Apartment/Condo","1","RM-5","$119,900"
