"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261367314/0/60/45/63a16ee793e7e8de1b040ede3b06d4f6/16/6e92a551cccffad4a6e10a6cd9a8e828/261367314.JPG","V1093460","Residential Detached","S","4 240 HARRY ROAD","Gibsons & Area","$19,000","18","2","1974","0.00","Manufactured","Sunshine Coast","800-007-889","V0N 1V5","1.00",,
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261168352/0/60/45/aa5b8d673b00720c8dda7644981e3d04/13/df3c12ccdc96bf8b29067e4508b8671d/261168352.JPG","N238697","Land Only","S","LOT 1 ISLE PIERRE ROAD","Reid Lake","$23,450","114",,,"0.00",,"PG Rural North (Zone 76)","009-264-931","V2N 6K4","0.00","Road Access",
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261346883/0/60/45/d47c7abb6d122da18888f6222a83528e/14/c98ec611d9fa451399a9afb37b82d8fd/261346883.JPG","H1404320","Residential Detached","S","1 45640 WATSON ROAD","Vedder S Watson-Promontory","$25,000","23","2","1970","0.00","Manufactured","Sardis","700-009-408","V2R 3P8",,,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261314238/0/60/45/caee47961fe09f19bff1765e87cc3ed4/15/8939101b3159a90326c3a689d9194fea/261314238.JPG","F1424934","Residential Detached","S","94 1840 160TH STREET","King George Corridor","$28,000","39","3","1973","0.00","Manufactured","South Surrey White Rock","900-572-760","V4A 4X4","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260394119/0/60/45/2f28e90c51ee06b84225e2a7d25b6a90/13/ee7db1c9b5bebf10f9bc1cc44383056d/260394119.JPG","N229223","Residential Detached","S","21764 RAILWAY AVENUE","Topley","$30,000","504","4","9999","9,617.00","House/Single Family","Burns Lake (Zone 55)","012-735-582","V0J 2Y0","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261057154/0/60/45/622c89d13c150a42f2562ce563f64d44/16/33f1608d90b456e9d90f35192ab2ccae/261057154.JPG","V1070485","Land Only","S","9506 LOT C PORTAGE ROAD","D'Arcy","$30,000","169",,,"0.00",,"Pemberton","026-770-610","V0N 1L0","0.00","Road Access",
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261299967/0/60/45/2e2edcdfff390ef28eb27e12a97a0bc1/13/79d383e8cadc26eb2a1c85c6845ed7bb/261299967.JPG","N240280","Land Only","S","LOT 1 VAHALLA ROAD","Tabor Lake","$31,000","80",,,"0.00",,"PG Rural East (Zone 80)","027-545-652","V2N 6W3",,"Allowed Access","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260769990/0/60/45/95cf051caba9d0a2116ee31294cbb3f7/13/fc387d42c44bf4ffb6df94fee2f1ce02/260769990.JPG","N233240","Residential Detached","S","5296 N MACHETE LK ROAD","Bridge Lake/Sheridan Lake","$42,000","284","2","9999","0.00","Recreational","100 Mile House (Zone 10)","023-930-080","V0K 1E0","0.00",,
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260329209/0/60/45/eb422b3016bfbc0f5737692536e8331d/13/2a3a3b2002d5742c808e26c431251f01/260329209.JPG","N228319","Residential Detached","S","613 11TH AVENUE","Stewart/Cassiar","$45,000","533","2","9999","0.00","House/Single Family","Terrace (Zone 88)","027-024-661","V0T 1W0","60.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261214049/0/60/45/3b14fd54150d4c1ffa9d7cc259d281f8/14/dc7f29f6f663959b889c575b26c73674/261214049.JPG","H1403527","Residential Detached","S","47475 SUMAC DRIVE","Boston Bar - Lytton","$45,000","91","3","1977","22,475.00","House/Single Family","Hope","004-941-926","V0K 1C0","145.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260354526/0/60/45/fb40694043dcb112dab360cd3828ced9/14/5c308e4323cbe0eebed3a373c1d32c42/260354526.JPG","H1302508","Residential Detached","S","40 6035 VEDDER ROAD","Sardis West Vedder Rd","$47,800","523","2","2006","0.00","Manufactured","Sardis","700-005-188","V2R 4H1","0.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261300724/0/60/45/3b3530209611a09c084d01b701ab01be/16/04d695c85490dd0c85583194ac2deaf7/261300724.JPG","V1089169","Residential Attached","S","414D 2020 LONDON LANE","Whistler Creek","$50,000","54","1","2008","0.00","Apartment/Condo","Whistler","027-506-355","V0N 1B2",,,
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261003792/0/60/45/8e1c5db624db8cc86a9bd6742a76ae8d/16/ea0753e5e270ef85857d68f05d0fa855/261003792.JPG","F1412805","Residential Detached","S","22B 26892 FRASER HIGHWAY","Aldergrove Langley","$53,000","190","2","1976","0.00","Manufactured","Langley","900-571-164","V4W 3T5","0.00",,
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261378695/0/60/45/6c2a7c8562aaadbe63420200adc8ac08/15/93d047f27696562f6d4de59dae649557/261378695.JPG","H1404476","Residential Attached","S","303 45744 SPADINA AVENUE","Chilliwack W Young-Well","$62,400","9","2","1981","0.00","Apartment/Condo","Chilliwack","005-195-322","V2P 1T6",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261359114/0/60/45/18100a7508f68effcd6f2b1f261bee45/13/6959e36c2465a1774446b001ebf7dde4/261359114.JPG","N240836","Residential Detached","S","4210 15TH AVENUE","Hazelton","$64,000","20","2","1973","15,840.00","Manufactured with Land","Smithers And Area (Zone 54)","013-961-632","V0J 2J0","132.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261161188/0/60/45/9e558e35719042bfd4f5057ee1675a43/15/3e5163c2a33fb4f198afb764056ba47d/261161188.JPG","F1418937","Residential Attached","S","122 1653 140TH STREET","Sunnyside Park Surrey","$65,000","119","0","1990","0.00","Apartment/Condo","South Surrey White Rock","024-170-739","V4A 4H1",,,
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260950538/0/60/45/3cf8021d447bcbd10bd75c46de1b25ca/15/c393a2d904b082b0a39818162024e5af/260950538.JPG","H1401761","Residential Attached","S","111 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","$66,500","209","2","1980","0.00","Apartment/Condo","Chilliwack","001-867-491","V2P 7J3",,,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261225406/0/60/45/939b1c0ead32afe93b8e4ee886ace122/15/bc18eed24b70fccba020639f557fa421/261225406.JPG","F1421565","Residential Attached","S","227 2279 MCCALLUM ROAD","Central Abbotsford","$70,000","78","2","1983","0.00","Apartment/Condo","Abbotsford","002-032-074","V2S 3N7","0.00",,
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261202491/0/60/45/c6f4dede1351a13012c072373ac382c0/15/107dc8fbe34d89348edd0a660b744f7f/261202491.JPG","F1420679","Residential Attached","S","95 17716 60TH AVENUE","Cloverdale BC","$71,500","100","1","1985","0.00","Apartment/Condo","Cloverdale","001-180-398","V3S 1V2",,,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261380748/0/60/45/ade9eb9cbe6f35e0ebe8d984a1643233/15/aa221274aa82085d5227afa605b3f67e/261380748.JPG","F1427216","Residential Attached","S","305 2279 MCCALLUM ROAD","Central Abbotsford","$78,000","2","2","1982","0.00","Apartment/Condo","Abbotsford","002-032-163","V2S 6J1","0.00",,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260802890/0/60/45/0f563516a0914d770bf8460e604f3c13/15/84daf1fc3a0cb01ba9b3eb38a4c718e5/260802890.JPG","F1404638","Residential Attached","S","305 32040 PEARDONVILLE ROAD","Abbotsford West","$80,000","279","2","1981","0.00","Apartment/Condo","Abbotsford","001-121-031","V2T 6N8",,,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261180607/0/60/45/46ee58023a3d9c839ee52194be9cfbd1/15/346e413bd7d1f8f535470a62af622352/261180607.JPG","F1419759","Residential Attached","S","105 32070 PEARDONVILLE ROAD","Abbotsford West","$80,000","108","2","1981","0.00","Apartment/Condo","Abbotsford","001-866-729","V2T 6N9",,,
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261249565/0/60/45/35e223cba6bc04287d88b5d8cca55f28/13/981eb96ff4157cba79a2af94171e56ab/261249565.JPG","N239757","Residential Detached","S","850 IRWIN STREET","Central","$80,000","74","3","9999","6,000.00","House/Single Family","PG City Central (Zone 72)","006-406-637","V2M 2X9","0.00",,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260681654/0/60/45/d526e6b4ef7161b317d35c2a8d118b10/13/f0d79efe3e23aa6f78fbed2c2774ecf1/260681654.JPG","N232471","Residential Detached","S","8395 N BRIDGE LAKE ROAD","Bridge Lake/Sheridan Lake","$85,000","357","0","9999","0.00","Recreational","100 Mile House (Zone 10)","007-171-889","V0K 1E0","0.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260853357/0/60/45/856c56e0bc97fb23bfa526c7ac646d66/16/9c717a0acea969c35395a3b1c70b75b3/260853357.JPG","V1053780","Residential Attached","S","413 4369 MAIN STREET","Whistler Village","$85,500","245","0","1996","0.00","Apartment/Condo","Whistler","023-779-250","V0N 1B4",,,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261064818/0/60/45/bf0ed8023d6de442b50968a90bebd015/13/7c802e51965edf5750b0667b09c97c79/261064818.JPG","N237197","Residential Detached","S","4665 OTTER STREET","Terrace - Rural East/Cedarvale","$86,500","161","1","1970","0.00","Manufactured with Land","Terrace (Zone 88)","009-731-032","V8G 0A5","80.00",,
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261328874/0/60/45/ad3bf0638c1127b0d5d8a3422885508d/16/8a1d52a887038e632f02bf4cfba762e3/261328874.JPG","V1090960","Residential Attached","S","207 611 BLACKFORD STREET","Uptown NW","$94,900","38","1","1964","0.00","Apartment/Condo","New Westminster","027-769-844","V3M 1R7",,,
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261090824/0/60/45/a621442c3829c0d6fc2686cae57028f0/15/a0288f863de058476b2a67d584fcf14b/261090824.JPG","F1416287","Residential Attached","S","112 1653 140TH STREET","Sunnyside Park Surrey","$95,000","153","1","1990","0.00","Apartment/Condo","South Surrey White Rock","024-170-593","V4A 4H1",,,
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261379653/0/60/45/fa40ca10e38b3a43254425f01754c32e/15/5f384efa1351b5fcb73a67636770017e/261379653.JPG","H1404480","Residential Attached","S","207 46289 YALE ROAD","Chilliwack E Young-Yale","$96,000","6","2","2008","0.00","Apartment/Condo","Chilliwack","027-587-428","V2P 0B9",,,
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260975153/0/60/45/503d491e69edcaa103bb42ec8733dc6a/13/f9e655d8430457763eb804f26ef73ace/260975153.JPG","N235826","Land Only","S","7288 E YOUNG LAKE ROAD","70 Mile House","$102,000","204",,,"0.00",,"100 Mile House (Zone 10)","007-908-113","V0K 2E0","0.00","Allowed Access",
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261306569/0/60/45/29fc4bd2a11f5e8ba0e9f286e87618fa/13/bdd0c94edffa211264ce204c8f016d89/261306569.JPG","N240355","Residential Detached","S","5103 MEDEEK AVENUE","Terrace - City","$105,000","44","3","9999","0.00","House/Single Family","Terrace (Zone 88)","005-908-621","V8G 1C9","60.00",,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261348556/0/60/45/fb27a38bec0d9e837acdd7816408c763/16/5fa2bd03689e03fd2821b56826c16a3c/261348556.JPG","V1092278","Residential Attached","S","418 2111 WHISTLER ROAD","Nordic","$106,000","25","0","1976","0.00","Apartment/Condo","Whistler","800-090-145","V0N 1B2",,,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261389722/0/60/45/a41dd26ee552d2fd959bd5b56dc1959e/15/187bec610a5b6da7938e9b004b8ec98b/261389722.JPG","F1427499","Residential Attached","S","307 10061 150TH STREET","Guildford","$110,000","0","1","1981","0.00","Apartment/Condo","North Surrey","001-903-047","V3R 4A7",,,
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260976893/0/60/45/38ef3f5e9401abf348bf5cd034b86046/16/94bccd5990553a8aee543f24ecb35f2e/260976893.JPG","V1064106","Residential Attached","S","220 22661 LOUGHEED HIGHWAY","East Central","$110,273","195","2","1991","0.00","Apartment/Condo","Maple Ridge","013-828-312","V2X 2V4",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261271359/0/60/45/8ca1bfa61a53fb758601e64559119265/15/0725fa4a85c9dfaa43910e9fea612aac/261271359.JPG","F1423415","Residential Detached","S","223 1840 160TH STREET","King George Corridor","$112,000","57","3","1999","0.00","Manufactured","South Surrey White Rock","900-572-597","N0N 0N0","0.00",,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261043459/0/60/45/9f68b77c78d9355b548ef1b98da3e4c0/16/5d52e033c873636e38dd552d9a1d5603/261043459.JPG","V1069324","Residential Attached","S","304 2036 COQUITLAM AVENUE","Glenwood PQ","$112,500","172","2","1972","0.00","Apartment/Condo","Port Coquitlam","001-001-655","V3B 1J5",,,
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260904417/0/60/45/49a0fd8bec6d13abea029e397fa9ba80/15/2ac6ecde0c6822bdd59c1daaf0ad893b/260904417.JPG","F1408862","Residential Attached","S","106 13316 OLD YALE ROAD","Whalley","$115,000","225","2","1981","0.00","Apartment/Condo","North Surrey","001-878-638","V3T 5J5","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261335776/0/60/45/91fcd4ef61375b5cfa9125604da06bc1/13/ab5e7e23394ef36a363b637824cae9c9/261335776.JPG","N240632","Residential Detached","S","14060 SACKNER ROAD","Vanderhoof - Town","$116,665","34","5","9999","0.00","House with Acreage","Vanderhoof And Area (Zone 56)","006-083-421","V0J 3A2","0.00",,
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261253745/0/60/45/c45fa78e1ee0a36c01da33f351597ca0/16/bcf55b39aed385e3fa78e8990460c025/261253745.JPG","V1085291","Residential Attached","S","303 12170 222ND STREET","West Central","$118,000","68","2","1977","0.00","Apartment/Condo","Maple Ridge","001-456-032","V2X 8H1",,,
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261201783/0/60/45/83b5dd9a2a5d8ae78a8dd7940771086e/15/1e85412bf7f55cea568537d8c7192675/261201783.JPG","F1420649","Residential Attached","S","310 2963 NELSON PLACE","Central Abbotsford","$118,000","93","1","1994","0.00","Apartment/Condo","Abbotsford","018-786-618","V2S 7L6",,,
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261271029/0/60/45/9b08d487cf84cb75adb2e53205ab1e8b/15/d592e9d0dd744d8cc2715489d40faf46/261271029.JPG","V1086522","Residential Attached","S","201 528 ROCHESTER AVENUE","Coquitlam West","$119,000","60","0","1999","0.00","Apartment/Condo","Coquitlam","024-118-923","V3K 7A5",,,
