"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning"
"10","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2286574","Residential Attached","S","403 10777 UNIVERSITY DRIVE","Whalley","$348,000","4","1","2010","0.00","Apartment/Condo","North Surrey","028-181-549","V3T 0E6",,,,"$348,000","1.06","$611.60","7/9/2018","Apartment/Condo","1","CD"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279375/0/60/45/e8cec36082b9d8490d55ef94195f8cbf/13/b9100ddc044b50da18df3af0c28962e7/262279375.JPG","R2257748","Residential Detached","S","4722 KITWANGA DRIVE","108 Ranch","$349,900","85","3","1994","26,400.00","House/Single Family","100 Mile House (Zone 10)","007-814-674","V0K 2Z0","132.00",,,"$349,900","1.00","$165.44","7/10/2018","House/Single Family","3","R1-1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304825/0/60/45/140a2ee5eda331fd86c9407761889c6d/16/1aeb6a5f170e09c89706923e89747742/262304825.JPG","R2283198","Residential Attached","S","202 436 SEVENTH STREET","Uptown NW","$350,000","10","1","1977","0.00","Apartment/Condo","New Westminster","001-611-534","V3M 3L3",,,,"$350,000","1.00","$571.90","7/5/2018","Apartment/Condo","1","MF"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309125/0/60/45/4e0a16858d77add839b9bc11a2e9b743/13/d791487f89af90ae2427c46f488051ba/262309125.JPG","R2287498","Residential Detached","S","114 LAMBERT STREET","Quesnel - Town","$350,000","3","3","1993","0.00","House/Single Family","Quesnel (Zone 28)","011-349-034","V2J 6B5","0.00",,,"$350,000","0.97","$205.88","7/9/2018","House/Single Family","2","RS1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290558/0/60/45/72ce0ecca1cf6b39222388e684748c0c/15/8cc6d4b9bd73fa5ed4d4d8d44dac4d14/262290558.JPG","R2268931","Residential Attached","S","1201 13399 104 AVENUE","Whalley","$352,000","55","1","2009","0.00","Apartment/Condo","North Surrey","027-926-753","V3T 0C9","0.00",,,"$352,000","0.94","$647.06","7/9/2018","Apartment/Condo","1","CD"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307055/0/60/45/cd54df1b8e2693dd72dedea1e878cef1/16/e78fe48322ca094fe0d8afc16cd17f7a/262307055.JPG","R2285428","Residential Attached","S","409 2615 JANE STREET","Central Pt Coquitlam","$352,000","8","1","1994","0.00","Apartment/Condo","Port Coquitlam","018-722-148","V3C 3K3",,,,"$352,000","1.01","$491.62","7/11/2018","Apartment/Condo","1","STRATA"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262283192/0/60/45/ccc755eacb2947795a988374e1785ab2/15/98a64cd91cae17a671a52438e2a0bdfa/262283192.JPG","R2261565","Residential Attached","S","14 3380 GLADWIN ROAD","Central Abbotsford","$352,500","72","2","1992","0.00","Townhouse","Abbotsford","017-697-042","V2S 7G1",,,,"$352,500","0.98","$261.89","7/6/2018","Townhouse","2","RM45"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262284568/0/60/45/a6a96c50fc65c6908a80205d255b6b61/13/4c7708e94684eea5b5659a4463fb1b71/262284568.JPG","R2262941","Residential Attached","S","133 3500 POZER ROAD","Edgewood Terrace","$355,000","69","3","1993","0.00","Townhouse","PG City North (Zone 73)","018-432-085","V2K 1A9","0.00",,,"$355,000","0.93","$120.42","7/8/2018","Townhouse","3","RM1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305513/0/60/45/5f09d9ddefe497c844986f8f0f9c76cf/16/9b7ecc4ff37c02c9cb70231a7bb9cbc0/262305513.JPG","R2283886","Residential Attached","S","105 10533 UNIVERSITY DRIVE","Whalley","$355,000","18","1","1994","0.00","Apartment/Condo","North Surrey","018-700-390","V3T 5T7",,,,"$355,000","0.99","$510.79","7/12/2018","Apartment/Condo","1","STRATA"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305543/0/60/45/8f39bae216fb81f6d93b4e0278345b73/13/206ae7e69c5a5595d37510e1a7b17e93/262305543.JPG","R2283916","Residential Detached","S","6306 FORGLEN ROAD","McLeese Lake","$355,000","8","3","1982","0.00","House/Single Family","Williams Lake (Zone 27)","015-948-161","V2G 4Y8","0.00",,,"$355,000","0.94","$111.46","7/4/2018","House/Single Family","3","RL"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307906/0/60/45/74f8caf60cb2ab652ccc303009937ba1/16/d578276af87057b2dabf7e3c9e7d2d1d/262307906.JPG","R2286279","Residential Attached","S","107A 2615 JANE STREET","Central Pt Coquitlam","$355,000","4","1","1994","0.00","Apartment/Condo","Port Coquitlam","018-722-288","V3C 3K3","0.00",,,"$355,000","0.97","$488.98","7/8/2018","Apartment/Condo","1","STRATA"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294948/0/60/45/d2dbe2f6273f4dbe10fc61b16d0074d2/16/f40a41523b8482d135ca51b6eb8f0d60/262294948.JPG","R2273321","Residential Attached","S","109 1345 CHESTERFIELD AVENUE","Central Lonsdale","$355,000","40","1","1968","0.00","Apartment/Condo","North Vancouver","024-363-961","V7M 2N1",,,,"$355,000","0.89","$513.75","7/7/2018","Apartment/Condo","1","RM-1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308288/0/60/45/1f5cc8c6913f984c9a30374f3acfb603/16/a8199245e6ddd81e5afe423a1a7e5a9e/262308288.JPG","R2286661","Residential Attached","S","213 19528 FRASER HIGHWAY","Cloverdale BC","$356,000","8","1","1996","0.00","Apartment/Condo","Cloverdale","019-015-470","V3S 8P4",,,,"$356,000","0.98","$474.67","7/14/2018","Apartment/Condo","1","CD"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309213/0/60/45/e9acc5165b979e379badf05aeeca9cfd/16/89813f2fecab9548d72def23a4b55dbf/262309213.JPG","R2287586","Residential Attached","S","204 2425 SHAUGHNESSY STREET","Central Pt Coquitlam","$356,000","4","2","1974","0.00","Apartment/Condo","Port Coquitlam","001-317-083","V3C 3E6",,,,"$356,000","0.99","$454.08","7/13/2018","Apartment/Condo","1","RA1"
