"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306403/0/60/45/2ccbda32fb1b2619c350536d620c8387/13/91d5e07f5eabe6f47b9a9cafaa8dc18e/262306403.JPG","R2284776","Land Only","S","LOT 20 TREMBLEUR LAKE","Fort St. James - Rural","$9,500","22",,,"0.00",,"Fort St. James (Zone 57)","009-989-251","V0J 1P0","0.00","Water Access","Recreational","$9,500","0.79",,"7/17/2018","Other",,"N/A"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264436/0/60/45/f9b681608c807ace158175c6c9a9acc2/13/5effb0696047c30a40b17a38f478edd3/262264436.JPG","R2242809","Land Only","S","209 W 7TH AVENUE","Prince Rupert - City","$19,500","131",,,"0.00",,"Prince Rupert (Zone 52)","014-624-958","V8J 2C3","25.00","Allowed Access","House/Single Family","$19,500","0.50",,"7/6/2018","Other",,"R2"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294977/0/60/45/033767dc53b8f4b9a70db885957047b8/13/1ad8d5248cd9f93817ebafd032fe32e8/262294977.JPG","R2273350","Land Only","S","Lot 4 KOKANEE ROAD","Canim/Mahood Lake","$25,000","41",,,"36,154.80",,"100 Mile House (Zone 10)","007-143-265","V0K 1J0","0.00","Road Access","House/Single Family","$25,000","0.83","$0.69","7/6/2018","Other",,"R-1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290791/0/60/45/7d3029d62e06bb4e56220df2a30c2489/13/d5715463d5fbcbb12d1060cb3db54643/262290791.JPG","R2269164","Land Only","S","LOT 27 SAUNDERS CRESCENT","103 Mile House","$26,000","61",,,"0.00",,"100 Mile House (Zone 10)","007-908-890","V0K 2E1","0.00","Road Access","House/Single Family","$26,000","0.79",,"7/16/2018","Other",,"R1"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262299159/0/60/45/c1779da84ab2619c4f8ab8069f0cc03d/13/61a6f155b0dada1807706948e838749d/262299159.JPG","R2277532","Land Only","S","3581 SELLARS ROAD","Canim/Mahood Lake","$27,500","41",,,"23,086.80",,"100 Mile House (Zone 10)","008-109-851","V0K 1L0","100.00","Road Access","House/Single Family","$27,500","0.77","$1.19","7/15/2018","Other",,"R-1"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259326/0/60/45/d0c884a1c488584b61a9b36400373790/13/84f432a5263c35e0f9a60df17022953e/262259326.JPG","R2237699","Residential Detached","S","51 7414 FOREST LAWN STREET","Fort St. John - Rural E 100th","$28,000","153","3","1994","0.00","Manufactured","Fort St. John (Zone 60)","800-119-421","V1J 4M6",,,,"$28,000","1.00","$33.33","7/10/2018","Manufactured","1","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291615/0/60/45/38a64fabe1e15b34b359fa7a04be6799/13/f199ef085fbd60882649edcf25105eb3/262291615.JPG","R2269988","Residential Detached","S","13 3001 N MACKENZIE AVENUE","Williams Lake - City","$34,000","49","4","1974","0.00","Manufactured","Williams Lake (Zone 27)","800-121-982","V2G 2N9",,,,"$34,000","0.85","$35.02","7/5/2018","Manufactured","1","MHP"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308784/0/60/45/876e1a92819f65fc15db1936a2d0d449/13/6468c9a2a0bacc45037981d3ccff2a1d/262308784.JPG","R2287157","Residential Detached","S","223 5130 NORTH NECHAKO ROAD","Nechako Bench","$35,000","0","2","1977","0.00","Manufactured","PG City North (Zone 73)","800-123-093","V2K 4W3","0.00",,,"$35,000","0.88","$35.71","7/5/2018","Manufactured","2","RM9"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286687/0/60/45/de824fddd22d273faa42d3db27d705e4/13/c4068888fa0e27da776762f7cace5c2a/262286687.JPG","R2265060","Land Only","S","LOT 4 KALLUM DRIVE","108 Ranch","$37,000","72",,,"26,571.60",,"100 Mile House (Zone 10)","001-832-549","V0K 2Z0","74.00","Road Access","House/Single Family","$37,000","0.93","$1.39","7/14/2018","Other",,"R1-1"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2290884","Land Only","S","74 8400 SHOOK ROAD","Hatzic","$38,000","243",,,"1,200.00",,"Mission","905-002-388","V2V 7L3","30.00","Road Access","Recreational","$38,000","0.76","$31.67","7/19/2018","Other",,"REC"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307623/0/60/45/7fc056d5c89182b2e5d108a2823d9a4b/13/96840c2612a38299871eef0422c0b09c/262307623.JPG","R2285996","Land Only","S","LOT 11 NOVAK STREET","Quesnel - Town","$44,000","2",,,"6,200.00",,"Quesnel (Zone 28)","027-127-079","V2J 6P6","0.00","Allowed Access","House/Single Family","$44,000","0.98","$7.10","7/6/2018","Other",,"RS1"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309622/0/60/45/3e5e3475de10484a4919f98ed292e8a0/15/dde540c227ec6997118a300cf9af2ff1/262309622.JPG","R2287995","Land Only","S","103 8400 SHOOK ROAD","Hatzic","$53,000","0",,,"1,250.00",,"Mission","905-002-264","N0N 0N0","25.00","Road Access","Recreational","$53,000","0.90","$42.40","7/10/2018","Other",,"REC"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251124/0/60/45/dd94649576df1f8330ccef403eeac3ee/13/e5da82948aec112f56deac288e3f018d/262251124.JPG","R2229497","Land Only","S","5811 MIDLAND ROAD","South Blackburn","$54,500","204",,,"0.00",,"PG City South East (Zone 75)","023-852-666","V2N 6C3","0.00","Road Access",,"$54,500","0.84",,"7/20/2018","Other",,"AR2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280057/0/60/45/7d5dc6ae84308fed33ad418eebd6dc69/14/179fff3b876455b8303759680c261201/262280057.JPG","R2258430","Residential Detached","S","BLK A SCUM LAKE","Williams Lake - Rural West","$55,000","80","0","9999","0.00","House with Acreage","Williams Lake (Zone 27)","800-121-316","V2G 5K7","0.00",,,"$55,000","0.92","$61.11","7/6/2018","House with Acreage","0","RR3"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262696/0/60/45/801129c9e499d573290798c87b8667eb/13/bd5f2886feed52c888caefb031c5f986/262262696.JPG","R2241069","Land Only","S","LOT 62 BLOCK DRIVE","108 Ranch","$55,000","139",,,"0.00",,"100 Mile House (Zone 10)","007-952-244","V0K 2Z0","0.00","Road Access","House/Single Family","$55,000","0.92",,"7/6/2018","Other",,"R1-1"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305237/0/60/45/253b3415793022de201230e9a384e260/13/5851635fc91783bf0119a79f21fb3d04/262305237.JPG","R2283610","Residential Detached","S","3 770 11TH AVENUE","Williams Lake - City","$57,500","11","2","1975","0.00","Manufactured","Williams Lake (Zone 27)","800-122-860","V2G 2M4","0.00",,,"$57,500","0.92","$63.89","7/6/2018","Manufactured","1","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262267322/0/60/45/f423e352650f0380b1243abbf603c6d0/14/481df6f4e90928e97c251b8b1a06f0a8/262267322.JPG","R2245695","Residential Detached","S","37 7850 KING GEORGE BOULEVARD","East Newton","$57,900","125","2","1976","0.00","Manufactured","Surrey","905-000-535","V3W 5B2","30.00",,,"$57,900","0.97","$70.96","7/11/2018","Manufactured","1","MHP"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262296967/0/60/45/199de6d6dd948398f60d8aac9e0334e8/13/c96de6cf6efcb2d47d429b8a8735dec5/262296967.JPG","R2275340","Residential Detached","S","7685 SAPPHIRE CRESCENT","Emerald","$60,000","44","3","1974","13,068.00","Manufactured with Land","PG City North (Zone 73)","004-876-750","V2K 4N1","0.00",,,"$60,000","0.75","$52.17","7/13/2018","Manufactured with Land","2","RS1M"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147250/0/60/45/977c978ffcdb32d1a81430a573149551/16/91b838175438c18eb8ac638cc10349c0/262147250.JPG","R2125623","Land Only","S","Lot 2 MOUNTAIN HIGHWAY","Upper Lonsdale","$60,000","587",,,"0.00",,"North Vancouver","015-972-844","V7K 3K5","300.00","Road Access",,"$60,000","0.61",,"7/8/2018","Other",,"PRO"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305392/0/60/45/f4784b3c6cd88fe2f368f693bbaf66f6/13/fc0940cdbbae24a2196a14d25eb9ba7a/262305392.JPG","R2283765","Land Only","S","LOT 7 RUFFELL ROAD","Canim/Mahood Lake","$62,500","27",,,"0.00",,"100 Mile House (Zone 10)","003-715-817","V0K 1J0","0.00","Road Access","House/Single Family","$62,500","0.91",,"7/20/2018","Other",,"RR 3"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305214/0/60/45/8b98ba2c2f9f2b44539801e6e5a45bb7/14/7aa1e40b9e4d91d7ea4987b47ccb41ef/262305214.JPG","R2283587","Residential Detached","S","38 46484 CHILLIWACK LAKE ROAD","Chilliwack River Valley","$70,000","17","2","1978","2,100.00","Manufactured","Sardis","746-484-316","V2R 4Y6","30.00",,,"$70,000","1.00","$75.76","7/12/2018","Manufactured","1","MHR"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280531/0/60/45/29b7f1baea40d7c766b45d980f4a3f7f/16/6a481c39cbae447e0498db63e043f6e7/262280531.JPG","R2258904","Land Only","S","213 8400 SHOOK ROAD","Hatzic","$70,000","88",,,"1,650.00",,"Mission","019-006-608","V2V 7N1","30.00","Road Access","Recreational","$70,000","0.88","$42.42","7/16/2018","Other",,"REC"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256586/0/60/45/84bc374f736801a62cf734737ed531b5/13/3e762b0369118980aaaf4151772e5dfb/262256586.JPG","R2234959","Land Only","S","LOT 19 FRANCOIS LAKE ROAD","Fraser Lake","$72,000","169",,,"0.00",,"Vanderhoof And Area (Zone 56)","006-808-212","V0J 1S0","0.00","Road Access","House/Single Family","$72,000","0.97",,"7/12/2018","Other",,"R4"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262301337/0/60/45/9a0928c3dea32f66339a0bb6216a246d/13/f0c28bf770977fd3a0e713c3435dc63c/262301337.JPG","R2279710","Residential Attached","S","9 301 STUART DRIVE","Mackenzie -Town","$72,000","25","2","1978","0.00","Townhouse","Mackenzie (Zone 69)","023-675-039","V0J 2C0",,,,"$72,000","0.92","$50.00","7/7/2018","Townhouse","1","RM2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306269/0/60/45/158e632dd17ea0515b9746360324ef44/16/1a8bfe0a644a73ba4ae070225c7f8cf9/262306269.JPG","R2284642","Land Only","S","14882 PARKWAY LANE","Hope Sunshine Valley","$76,000","24",,,"6,770.00",,"Hope","002-109-999","V0X 1L5","47.00","Allowed Access","House/Single Family","$76,000","0.96","$11.23","7/22/2018","Other",,"RS1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256141/0/60/45/623eb2848811e6982b781f6d53609c45/16/b1fff03922eed778bc46ae91bd8c652e/262256141.JPG","R2234514","Land Only","S","H106 OLD HOPE PRINCETON HIGHWAY","Hope Sunshine Valley","$79,000","171",,,"3,991.00",,"Hope","700-011-060","V0X 1L5","49.00","Road Access","House/Single Family","$79,000","0.99","$19.79","7/14/2018","Other",,"CHP-1"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307766/0/60/45/a8e45837ea3ced5c15440452c2092973/13/c3b3865455f806111baefbbc2f8f6c33/262307766.JPG","R2286139","Land Only","S","2695 BOWRON ROAD","Pineview","$80,000","1",,,"0.00",,"PG Rural South (Zone 78)","013-998-331","V2N 6E2","0.00","Road Access",,"$80,000","0.73",,"7/5/2018","Other",,"RU1"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304230/0/60/45/a15b36a6fd0d749b2d9d9f18ad23152b/13/e9b2f3bfdf0e4016212d5d086f6f9599/262304230.JPG","R2282603","Residential Detached","S","8 208 8TH STREET","100 Mile House - Town","$82,000","30","2","1994","0.00","Manufactured","100 Mile House (Zone 10)","800-122-782","V0K 2E0","0.00",,,"$82,000","0.97","$82.49","7/19/2018","Manufactured","1","R6"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209982/0/60/45/c517ae26e5c4a75f3dc37b5632d48f49/13/5a33fcc91ec4450281deac463b82a765/262209982.JPG","R2188355","Residential Detached","S","1687 MACKENZIE 20 HIGHWAY","Bella Coola/Hagensborg","$85,000","362","0","9999","0.00","House with Acreage","Williams Lake (Zone 27)","001-174-631","V0T 1H0","0.00",,,"$85,000","0.89","$72.28","7/9/2018","House with Acreage","0","P1"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113855/0/60/45/54e97b661a2050e1ca68f55b0b0809d7/13/c22e5d3ce40e9c8363ee8d7f25e82c7b/262113855.JPG","R2092228","Land Only","S","LOT A LITTLE FORT 24 HIGHWAY","Bridge Lake/Sheridan Lake","$85,000","726",,,"0.00",,"100 Mile House (Zone 10)","029-718-414","V0K 1E0",,"Road Access",,"$85,000","0.92",,"7/10/2018","Other",,"RR1"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271006/0/60/45/6638a2376cb6b5d420b03df828ada01f/16/c8731267d9c6d5287dc77cf69d82b7b1/262271006.JPG","R2249379","Residential Detached","S","1 12868 229TH STREET","East Central","$90,000","119","2","1970","0.00","Manufactured","Maple Ridge","800-120-508","V2X 6R1",,,,"$90,000","0.90","$125.00","7/16/2018","Manufactured","1","MHP"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262298215/0/60/45/ef912b9a91c1d1cb3f3756f4af14de45/13/c500954ddd542fb98af6bce428aa09d2/262298215.JPG","R2276588","Residential Detached","S","531 HODGSON ROAD","Esler/Dog Creek","$91,000","31","1","9999","0.00","House/Single Family","Williams Lake (Zone 27)","013-383-531","V2G 3P8","0.00",,,"$91,000","0.91","$156.90","7/6/2018","House/Single Family","1","R1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262298829/0/60/45/deab32f399e9187a497d6e2d9cc0912e/15/3c1131d14687bb423c8b154e4586865e/262298829.JPG","R2277202","Residential Detached","S","87 7790 KING GEORGE BOULEVARD","East Newton","$93,000","36","3","1974","0.00","Manufactured","Surrey","905-001-882","V3W 5Y4","30.00",,,"$93,000","0.94","$121.09","7/12/2018","Manufactured","1","MHP"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303867/0/60/45/db82076c5ae0251b2371cefa46ae27b7/13/960801ce42444d81270a01336283359a/262303867.JPG","R2282240","Residential Detached","S","1725 PINNACLES ROAD","Bouchie Lake","$95,000","19","3","1965","953,092.80","House with Acreage","Quesnel (Zone 28)","009-218-858","V2J 7H6","0.00",,,"$95,000","0.95","$59.52","7/4/2018","House with Acreage","1","RR1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262297234/0/60/45/68c11efc3fe6ccc80292b17472eac5b8/13/4fb4ac171b964e91771afd67dffebf4e/262297234.JPG","R2275607","Residential Detached","S","12 5016 PARK AVENUE","Terrace - City","$95,500","36","2","1989","0.00","Manufactured","Terrace (Zone 88)","800-122-323","V8G 1X1","0.00",,,"$95,500","0.96","$103.35","7/7/2018","Manufactured","2","R5"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295033/0/60/45/3075970bcc3c280a04ce669e0cddc958/13/0454eeda88849bd0c12c0ccdaa7eb33d/262295033.JPG","R2273406","Land Only","S","6493 SHORE COURT","70 Mile House","$100,000","44",,,"0.00",,"100 Mile House (Zone 10)","008-020-272","V0K 2K2","85.00","Road Access","House/Single Family","$100,000","0.80",,"7/8/2018","Other",,"LR-1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307583/0/60/45/29aeb9254762b1425c659f61a19d6a95/16/350e61ec1492bb4206f8d78cb95f6697/262307583.JPG","R2285956","Residential Attached","S","18D 12849 LAGOON ROAD","Pender Harbour Egmont","$100,000","18","2","2007","0.00","Recreational","Sunshine Coast","027-299-317","V0N 2H0",,,,"$100,000","0.84","$70.08","7/16/2018","Recreational","2","CD2"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262302257/0/60/45/f2a190d6fb5f7b52d07fbf62e498d9be/13/b7d6cfaf128e1a56baa165c3ec360348/262302257.JPG","R2280630","Residential Detached","S","5497 PIERREROY COURT","108 Ranch","$115,000","25","2","9999","0.00","House/Single Family","100 Mile House (Zone 10)","008-091-714","V0K 2Z0","0.00",,,"$115,000","0.96","$140.93","7/9/2018","House/Single Family","1","R1-1"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308547/0/60/45/1eada145b24648d116fa7767aaea9afc/13/4437dbb5f3396bc581c393d1e15e95f1/262308547.JPG","R2286920","Residential Detached","S","313 OGDEN STREET","Fort St. James - Town","$115,000","4","3","1994","9,017.00","Manufactured with Land","Fort St. James (Zone 57)","012-281-361","V0J 1P0","0.00",,,"$115,000","0.96","$106.98","7/10/2018","Manufactured with Land","2","R1"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262258104/0/60/45/e5cc15f3306fe74e831a7ca98070cce1/16/79d4a7a3ab1603c711be1e714366d43c/262258104.JPG","R2236477","Land Only","S","B1 A DL 824 LD 36","Indian Arm","$120,000","171",,,"0.00",,"North Vancouver","017-590-680","V0V 0V0","198.00","Water Access","Recreational","$120,000","0.76",,"7/19/2018","Other",,"RURAL"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291214/0/60/45/9fceb4967e449171c7a2e71442705f6f/13/727a5ae262e94220187f4e04000829f2/262291214.JPG","R2269587","Residential Detached","S","5598 103 MILE LAKE ROAD","103 Mile House","$123,000","48","3","1991","0.00","Manufactured with Land","100 Mile House (Zone 10)","003-511-715","V0K 2E1","0.00",,,"$123,000","0.88","$97.93","7/4/2018","Manufactured with Land","1","R1-1"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281915/0/60/45/9361d2bf87d4991fa957bbeb844b374d/13/5a88d482309b200858a479540d92bd26/262281915.JPG","R2260288","Land Only","S","3995 DEMPSEY LAKE ROAD","Lac la Hache","$124,900","79",,,"435,600.00",,"100 Mile House (Zone 10)","013-512-072","V0K 1T1","0.00","Road Access",,"$124,900","0.89","$0.29","7/8/2018","Other",,"RR1"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262266741/0/60/45/f246ea3115487168db935cf7441eb96d/13/8b561daba09a7df77a2bc69d80a05b22/262266741.JPG","R2245114","Residential Detached","S","256 FLAMINGO STREET","Quesnel - Town","$125,250","131","2","1953","0.00","House with Acreage","Quesnel (Zone 28)","013-583-841","V2J 1M3","34.90",,,"$125,250","1.04","$81.33","7/9/2018","House with Acreage","2","RS2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303240/0/60/45/5343bdc7b1b82772909d656badc299ae/15/52c2eb1ea28c3782c02b95d44f4d2da3/262303240.JPG","R2281613","Residential Detached","S","25 9080 198 STREET","Walnut Grove","$135,000","16","2","1993","0.00","Manufactured","Langley","905-001-518","v1m 3a8",,,,"$135,000","0.97","$160.71","7/4/2018","Manufactured","1","MH-1"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308593/0/60/45/fe7714d8e0ff4d1ac2165dd3854129b1/15/a508218a75c356ef5c2b5b9fc7481116/262308593.JPG","R2286966","Residential Attached","S","214 11816 88 AVENUE","Annieville","$139,000","7","0","9999","0.00","Apartment/Condo","N. Delta","001-073-877","V4C 3C5",,,,"$139,000","1.00","$308.89","7/5/2018","Apartment/Condo","1","RES"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308656/0/60/45/f2fd75f412fe78e029cb727c51b4a82f/15/898ed250b23d554b2574be428dffeae7/262308656.JPG","R2287029","Residential Detached","S","327 1840 160 STREET","King George Corridor","$140,500","0","2","1980","0.00","Manufactured","South Surrey White Rock","905-002-221","V4A 4X4",,,,"$140,500","0.97","$139.11","7/9/2018","Manufactured","1","MHP"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262292606/0/60/45/33e9d4f2dccb30ed3d798af131785a75/16/ba3598f19194b29660fd109e0a44287b/262292606.JPG","R2270979","Residential Detached","S","19 4514 SUNSHINE COAST HIGHWAY","Sechelt District","$145,000","48","2","2004","0.00","Manufactured","Sunshine Coast","800-122-042","V0N 3A2",,,,"$145,000","0.97","$172.62","7/9/2018","Manufactured","1","R5"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262305391/0/60/45/994d288077ecd70626191e94907db736/16/4eca4d1be1835512944bf9738665ee83/262305391.JPG","R2283764","Residential Detached","S","24 5575 MASON ROAD","Sechelt District","$150,000","11","2","1995","0.00","Manufactured","Sunshine Coast","800-122-876","V0N 3A8",,,,"$150,000","1.00","$158.73","7/4/2018","Manufactured","2","R5"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306329/0/60/45/067416da9480f36fc7d620876e165142/13/c65bb71b7cc1bdd06a93949f31abe888/262306329.JPG","R2284702","Residential Detached","S","396 5TH AVENUE","Burns Lake - Town","$152,000","9","4","1976","6,048.00","House/Single Family","Burns Lake (Zone 55)","006-629-792","V0J 1E3","0.00",,,"$152,000","0.90","$79.17","7/8/2018","House/Single Family","1","R1"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262306237/0/60/45/659909e632af831a949dc8332df1bcdf/13/2ade370c4bf29ad706ffba13dbbfe6f9/262306237.JPG","R2284610","Residential Attached","S","204 4288 15TH AVENUE","Lakewood","$152,000","11","1","1974","0.00","Apartment/Condo","PG City West (Zone 71)","004-496-175","v2m 5k6",,,,"$152,000","0.92","$185.37","7/9/2018","Apartment/Condo","1","RM4"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295612/0/60/45/fc044ce2f589b39581a36a38189cc3d0/13/41cd3f53c8cdc7bdcbabebdbb7ba5be0/262295612.JPG","R2273985","Residential Detached","S","211 CRYSDALE DRIVE","Mackenzie -Town","$153,000","45","4","1972","8,125.00","House/Single Family","Mackenzie (Zone 69)","008-997-217","V0J 2C0","0.00",,,"$153,000","0.96","$88.54","7/10/2018","House/Single Family","2","R1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303093/0/60/45/419839b2b639d2474e8db527af9164ba/15/a9c38fa86be6b751e84c5eb92fe048a1/262303093.JPG","R2281466","Residential Detached","S","20 8560 156 STREET","Fleetwood Tynehead","$153,000","26","2","1978","0.00","Manufactured","Surrey","905-002-052","V3S 5K4","30.00",,,"$153,000","0.96","$165.58","7/15/2018","Manufactured","2","MHP"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278185/0/60/45/4ee765e0255696ed436059de1bce3797/13/e46480e32261211d0b8ffe47b9dc89b2/262278185.JPG","R2256558","Residential Detached","S","4971 9TH AVENUE","Hazelton","$155,000","85","2","2016","15,840.00","House/Single Family","Smithers And Area (Zone 54)","013-991-213","V0J 2J0","132.00",,,"$155,000","0.98","$165.60","7/6/2018","House/Single Family","2","R1"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262298738/0/60/45/ac27358c47914a74b21081d1cea79b9f/14/1961e61b705b9f012e45dcd68ab1f408/262298738.JPG","R2277111","Residential Detached","S","22 45640 WATSON ROAD","Vedder S Watson-Promontory","$155,000","30","2","1980","0.00","Manufactured","Sardis","745-640-423","V2R 3P9",,,,"$155,000","1.00","$127.89","7/5/2018","Manufactured","1","RMH"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304851/0/60/45/cca3ee2dc6beff4c5546e12974a15d6e/13/fd125362ae536be0b56bf08b1f620f00/262304851.JPG","R2283224","Residential Detached","S","1166 VILLAGE AVENUE","South Fort George","$157,000","16","2","1960","8,184.00","House/Single Family","PG City Central (Zone 72)","012-816-965","V2L 4L1","0.00",,,"$157,000","0.83","$157.00","7/10/2018","House/Single Family","1","RS2"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295064/0/60/45/6ddb47a6660f08e025337585e4b6a5b7/13/26b57ec61cf6032cc62ce7dcf79baf4a/262295064.JPG","R2273437","Land Only","S","2432 N NECHAKO ROAD","Edgewood Terrace","$160,000","48",,,"0.00",,"PG City North (Zone 73)","013-216-040","V2K 5C3","0.00","Road Access","House/Single Family","$160,000","0.95",,"7/12/2018","Other",,"AR3"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273759/0/60/45/5ec5ac0e29f2a46868ca054d7a11d4e8/16/02544644425c7a37790d35ec4f809f4b/262273759.JPG","R2252132","Residential Attached","S","216A 2036 LONDON LANE","Whistler Creek","$162,900","100","2","2000","0.00","Apartment/Condo","Whistler","024-967-459","V0N 1B2",,,,"$162,900","0.99","$176.30","7/9/2018","Apartment/Condo","2","CC2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289344/0/60/45/6c0f33d72f384f2be3c644abdad4d566/13/cab4360b7c8d39d0f5c07f2619207217/262289344.JPG","R2267717","Land Only","S","6423 BIRCH BAY ROAD","Horsefly","$164,000","73",,,"23,522.40",,"Williams Lake (Zone 27)","011-165-561","V0L 1L0","100.00","Road Access","House/Single Family","$164,000","0.97","$6.97","7/20/2018","Other",,"RL"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262300748/0/60/45/0e708a6bdc35aaab51725feedc564c47/16/c7328f211880e5a0b2de6ee1cde5a206/262300748.JPG","R2279121","Residential Detached","S","H97 STRAWBERRY LANE","Hope Sunshine Valley","$164,000","27","1","2011","2,378.00","Recreational","Hope","700-011-269","V0X 1L5","41.00",,,"$164,000","0.97","$264.52","7/7/2018","Recreational","1","CHP-1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308529/0/60/45/de2b169920730e59624e044a1afdb5ef/14/e49c4808d0affd200d779cc28f5cedaa/262308529.JPG","R2286902","Residential Attached","S","305 46033 CHILLIWACK CENTRAL ROAD","Chilliwack E Young-Yale","$165,000","10","2","1985","0.00","Apartment/Condo","Chilliwack","001-990-641","V2P 1J5",,,,"$165,000","0.93","$164.51","7/16/2018","Apartment/Condo","1","R5"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262270886/0/60/45/7cb1b30b902c165060bf97c03d93ea44/13/c833a317de843ab54ef5f8e639b43189/262270886.JPG","R2249259","Residential Attached","S","17 863 S LAHAKAS BOULEVARD","Kitimat","$165,000","111","3","1969","0.00","Townhouse","Kitimat (Zone 89)","014-930-749","V8C 2N1",,,,"$165,000","0.97","$151.10","7/8/2018","Townhouse","2","R3A"
