"psl_id";"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"list_price";"days_to_sold";"tot_bedrooms";"year_built";"lot_sz_sqft";"sold_date";"pid";"prev_price";"frontage_feet";"gross_tax";"lot_sz_acre";"strata_maint_fee";"days_on_market";"floor_area_fin_total";"no_floor_areas";"tot_baths";"num_of_kitchens";"fireplaces";"total_parking_places";"floor_area_fin_abv_main";"floor_area_fin_basem";"floor_area_fin_below_main";"floor_area_fin_main_fl";"floor_area_fin_main_grand_tot";"status_change_date";"entry_date";"list_date";"expiry_date";"cancel_effective_date_date";"cancel_effective_date";"cancel_protection_date";"postal_code";"ofc_name";"office_code";"list_agent_fname";"list_sales_rep_1_user_code";"list_agent_1_email";"list_agent_1_phone";"list_agent_1_web_page";"list_2_office_name";"list__firm_2_office_code";"list_firm_2_office_code";"list_sales_rep_2_full_name";"list_sales_rep_2_user_code";"list_sales_rep_2_email";"list_sales_rep_2_phone";"list_sales_rep_2_web_page";"selling_office_1_office_name";"selling_office_1_office_code";"sell_sales_rep_1_agent_full_name";"sell_sales_rep_1_agent_email";"sell_sales_rep_1_agent_phone";"sell_sales_rep_1_email";"sell_sales_rep_1_phone";"sell_sales_rep_1_user_code";"sell_sales_rep_1_web_page";"sell_office_2_office_name";"sell_office_2_office_code";"sell_sales_rep_2_agent_full_name";"sell_sales_rep_2_user_code";"sell_sales_rep_2_email";"sell_sales_rep_2_phone";"sell_sales_rep_2_web_page";"commission";"depth";"owner_name";"locker";"realtor_remarks";"public_remarks";"maint_fee_includes";"legal_description";"legal_description_2";"water_supply";"amenities";"bylaw_restrict";"restrictions";"occupancy";"building_only";"address_list_id";"latitude";"longitude";"rets_int_id";"prov_state";"view";"features_incl";"site_influences";"city";"pic_count";"tiny_thumb";"tiny_thumbs_arr";"med_thumbs_arr";"date_of_update";"lnd";"ths";"sfh";"apt";"rrn";"psl";"sfd";"ret";"ofw";"bfs";"cls";"mfd";"hsc";"location_v";"address_street";"pics";"zoning";"permitted_land_use";"access_to_property";"sp_lp_ratio";"sold_price_per_sqft";"type"
"207400";"F1414304";"Residential Attached";"Sold";"11 12738 66TH AVENUE";"Surrey";"West Newton";"Townhouse";"289000.00";"289000.00";"142";"3";"2004";"0";"2014-10-25";"025-820-508";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3W 1P3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"6";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039605/0/60/45/99ac71391c0a7e095b602d246e98130d/16/e9e1b103e0d65a1162ef382d2eb21e9e/261039605.JPG";"RM30";"";"";"0.97";"211.10";"Townhouse"
"207401";"F1414343";"Residential Attached";"Sold";"10570 HOLLY PARK LANE";"North Surrey";"Guildford";"Townhouse";"162000.00";"162000.00";"138";"2";"1977";"0";"2014-10-21";"000-469-459";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3R 6X9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"12";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261040720/0/60/45/eb538bbd613ac4b4d2bac988afc3bea7/15/365cc957e2d62b4e10b5ba67e8c624d6/261040720.JPG";"MF";"";"";"0.97";"140.38";"Townhouse"
"207402";"F1414500";"Residential Detached";"Sold";"13626 22A AVENUE";"South Surrey White Rock";"Elgin Chantrell";"House/Single Family";"1785000.00";"1785000.00";"134";"4";"1994";"0";"2014-10-21";"018-718-558";"0.00";"98.46";"0.00";"0.00";"0.00";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V4A 9V2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"20";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261044892/0/60/45/2a1d39efab1115dc80d2598ed4c98025/16/2fbb5e290840a9c4eea41927ae8ecab3/261044892.JPG";"RES";"";"";"0.94";"402.93";"House/Single Family"
"207407";"F1415249";"Residential Detached";"Sold";"14227 70TH AVENUE";"Surrey";"East Newton";"House/Single Family";"580000.00";"580000.00";"135";"5";"1989";"0";"2014-10-24";"011-878-797";"0.00";"35.00";"0.00";"0.00";"0.00";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3W 0P4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"5";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261065138/0/60/45/b20716b02c39de0db2ed1d59e10fc878/15/a7175b0c3b7791cd84f200df9ee409d5/261065138.JPG";"SFD";"";"";"0.98";"179.34";"House/Single Family"
"207409";"F1415313";"Residential Detached";"Sold";"20009 46A AVENUE";"Langley";"Langley City";"House/Single Family";"397500.00";"397500.00";"124";"3";"1976";"0";"2014-10-19";"006-376-550";"0.00";"60.00";"0.00";"0.00";"0.00";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3A 6J2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"16";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261067334/0/60/45/801e76531e726a5576e7e5ce6f8a36e2/15/db6c2a2e81cd878f63ead115923df7b7/261067334.JPG";"RES";"";"";"0.97";"392.40";"House/Single Family"
"207410";"F1415468";"Residential Attached";"Sold";"28 13239 OLD YALE ROAD";"North Surrey";"Whalley";"Apartment/Condo";"190000.00";"190000.00";"128";"1";"2009";"0";"2014-10-23";"027-783-545";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V3T 3C5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"7";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261071125/0/60/45/a755400c0f6154502ebdf46f872b7cd9/15/9adc2e20f842c577f79771e4557598a5/261071125.JPG";"MF";"";"";"0.95";"263.89";"Apartment/Condo"
"207411";"F1415609";"Residential Attached";"Sold";"234 31955 OLD YALE ROAD";"Abbotsford";"Abbotsford West";"Apartment/Condo";"97000.00";"97000.00";"128";"2";"1984";"0";"2014-10-26";"001-204-297";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V2T 4N1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"17";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261074797/0/60/45/4a5101f90d2994640c34ced57847481d/15/a465ff178dcb117dde858b55ae5e34aa/261074797.JPG";"RMH";"";"";"0.93";"89.24";"Apartment/Condo"
"207412";"F1415754";"Residential Detached";"Sold";"2689 143A STREET";"South Surrey White Rock";"Crescent Bch Ocean Pk.";"House/Single Family";"2260000.00";"2260000.00";"122";"7";"2014";"0";"2014-10-20";"028-796-845";"0.00";"86.00";"0.00";"0.00";"0.00";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V4P 1R6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"20";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261078305/0/60/45/ea9f44cd8b52a570a29796a56070be51/15/be0e949f00338a2d7133ce2a9e387263/261078305.JPG";"CDZ";"";"";"0.92";"351.20";"House/Single Family"
"207403";"F1414619";"Residential Attached";"Sold";"718 1350 VIDAL STREET";"South Surrey White Rock";"White Rock";"Apartment/Condo";"323000.00";"323000.00";"135";"2";"1984";"0";"2014-10-21";"000-562-645";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V4B 5G6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"18";"";"{}";"{}";"2018-07-25 13:47:36.866376-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261048036/0/60/45/3cfafa9ba214f168870632a17065155f/15/4e51ae6d8c63bcca7c111da7b15807f2/261048036.JPG";"CONDO";"";"";"0.96";"330.60";"Apartment/Condo"
"207562";"F1423699";"Residential Detached";"Sold";"2225 EMERSON STREET";"Abbotsford";"Abbotsford West";"House/Single Family";"363000.00";"363000.00";"27";"5";"1973";"0";"2014-10-20";"007-261-748";"0.00";"0.00";"0.00";"0.00";"0.00";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"1970-01-20";"V2T 3J1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.0000000000";"0.0000000000";"0";"";"";"";"";"";"18";"";"{}";"{}";"2018-07-25 13:47:37.020257-07";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"f";"";"";"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261279535/0/60/45/7acbf230d13d39a5c11914a7a8c1419f/15/edc82cfb5235bc6da458f29e7a73fe1e/261279535.JPG";"RS3";"";"";"0.96";"111.28";"House/Single Family"
